Title,Address,Website
TECHNONLINE,თბილისი / გ.ცაბაძის 3,WWW.TECHONLINE.GE
 მაღაზია  GE-SHOP    ახალი ტექნიკა გარანტიით  მაღაზიაში შესასვლელად დააჭირეთ აქ,თბილისი / დადიანის N7,
TENT,თბილისი / ჭაბუკიანის 6ა (საბურთალოს ქუჩა) სააკაძის მოედანთან,WWW.TENT.GE
მუსიკ რუმ / Musicroom,"თბილისი / ქ. თბილისი, რუსთაველის #37",WWW.MUSICROOM.GE
Acoustic • აკუსტიკა,თბილისი / Cabadzis 8. Kidobani-N67,WWW.ACOUSTIC.GE
PC_LION,თბილისი / გლდანის მე-2 მიკრო 24 ა კორპუსი,WWW.pclion.ge
 მაი ველო/ველოსიპედების ნაწილები და აქსესუარები,თბილისი / ვაჟა ფშაველას 15 ,myvelo.ge
ტექნოსითი,თბილისი / http://ge0.me/8y995_p0C3,
Best Point • ბესთ ფოინთ,თბილისი / ა.მიცკევიჩის 29 ა,https://www.facebook.com/BestPointTechnic
GN kitchen,თბილისი / ცაიშის 15,
PC HOME,თბილისი / ი. ნიკოლაძის 5,http://pchomeshop.ge/
Best Price,"თბილისი / კალოუბნის 36ა, ბინა 34.",bprice.ge
COMPUTEX,თბილისი / დავით გამრეკელის #9,www.computex.ge
პისი პლიუსი,თბილისი / გოძიაშვილის ქ#19,www.pcplus.ge
DGComp,თბილისი / ვარკეთილი ჯავახეთის 17დ,https://www.facebook.com/dgcomp.ltd
NEEDSHOP,თბილისი / ივანე ბერიტაშვილის #33,www.needshop.ge
სოლო კრედიტი,"თბილისი / საქართველო, თბილისი, ისანი-სამგორის რაიონი, რ.ხომლელის ქ., კორ. ""დ"", ბ. 14",
shoptime,თბილისი / ერთიანობისთვის მებრძოლთა ქუჩა,https://shoptime.ge/
Market  X / მარკეტ იქს,თბილისი / ზუბალაშვილები 50,www.marketx.ge
ელიტ კომპანი,"თბილისი / ც.დადიანის 7, ქარვასლა, მე3 სართული, მაღაზია A-308 ",elitcompany.ge
XPC,თბილისი / მარჯანიშვილის 26,
ITWorks,თბილისი / ვაჟა ფშაველას #78ა,shop.itw.ge
myguns,თბილისი / დიდი დიღომი,https://myguns.ge/
Gamers Hub,თბილისი,http://gamershub.ge/
BEST ONE,თბილისი / საბურთალო,არა
GAMERS,თბილისი / ქეთევან დედოფლის #53ბ (M 300 არაგველი),WWW.GAMERS.GE
ჯეო–კომპი,თბილისი / გობრონიძის #1ა,www.gcomp.ge
KLG,თბილისი / ბალანჩივაძის №1,www.klg.ge
TurboElectronics,თბილისი / ჯავახეთის 4,https://www.facebook.com/TurboEl
კოპი სერვისი,თბილისი / სერგო ზაქარიაძის 8,www.device.ge
PCZone - კომპიუტერული ზონა,"თბილისი / წერეთელი, სოხუმის ქუჩა 4-6ა",http://PCZone.ge
Techtree,თბილისი,techtree.ge
sameurneo,თბილისი / ხოშარაულის 29,sameurneo.ge
ECO WOOD,თბილისი / წყალსადენის N21,www.ecowood.ge
მსოფლიო სპორტი,თბილისი,https://www.facebook.com/wss.ge
gitec,"თბილისი / თბილისი, მ. თამარაშვილის 13ა",www.gitec.ge
PC Builders,"თბილისი / გლდანი 8 მიკრო, 1 კორპუსი",
სავაჭრო ინვენტარი,თბილისი / ქავთარაძის ქუჩა,
ქარავანი+,თბილისი / ბათუმის ქ. 29-ა,www.caravani.ge
Retailer - რითეილერ,თბილისი / ბელიაშვილის 43,www.retailer.ge
ელექტროტექნიკის მაღაზია,თბილისი / მოსკოვის გამზირი  ნომერი 2,
TECHNOLIGHT,თბილისი / 22. J.LEZHAVA STR HUALING PLAZA S10188,www.technolight.ge
At Home ,თბილისი / წერეთლის 115,www.athshop.ge
RODEX,თბილისი / ჭედიას 1 ,https://www.facebook.com/L.T.D.IEMG/
Ea Electronics / ეა ელექტრონიქსი,თბილისი / ვაჟა ფშაველას 43/1,http://www.eaelectronics.ge/index.php/ka/
MOBI art,"თბილისი / მეტრო ახმეტელის მიმდებარე ტერიტორია,მიწისქვეშა გასასვლელში",
Delisi computers,თბილისი / ფერდინანდ თავაძის 3,https://www.facebook.com/Delco-Delisi-Computers
Foodtech,"თბილისი / 36, მარშალ გელოვანის გამზ",foodtech.ge
Techno King,თბილისი,Technoking.ge
მეორადი ტექნიკისა და აქსესუარების მაღაზია,თბილისი / ალ.ყაზბეგის გამზ.#19ა,
Shop Service,"თბილისი / ქ. თბილისი, დ. აბაშიძის ქ. #1",http://infozavri.com/ka/
გრანდ ელექტრონიქსი,თბილისი / აგლაძის 15,https://grandel.ge
priori,თბილისი / მ. ალექსიძის #1,
Restaurateur,"თბილისი / დიღმის მასივი, III კვარტალი, კორპ. 6ვ",shop.rst.ge/
თემურ გოცაძე,თბილისი / თბილისი წერეთლის გამზირი N-1,
შპს მაკა,თბილისი,https://www.facebook.com/profile
Brandstore,თბილისი / ბოხუას ქ.4,
სეილეს ენდ ბიზნეს ჯგუფი,თბილისი / ხიზანიშვილის ქუჩა #77,https://www.facebook.com/Skate-Shop-131134411808676
FAST SHOP,თბილისი,www.fast-shop.ge
